Canoe Variant,Loadcase 1 Score,Loadcase 2 Score,Loadcase 3 Score,Average Score
"(5.7, 2.0, 2.75, 1.0, 0.8, 1.5, 1.25, 0.3, 0.2, 0.2, 0.18, 0.8, 16.0)",3.123251703,3.559397593,3.730726455,3.471125251
"(5.7, 2.0, 2.75, 1.0, 0.8, 1.5, 1.25, 0.3, 0.0, 0.2, 0.18, 0.8, 16.0)",3.123251703,3.559397593,3.730726455,3.471125251
"(5.7, 2.0, 2.75, 1.0, 0.65, 1.5, 1.25, 0.3, 0.0, 0.2, 0.18, 0.6, 16.0)",3.094280988,3.632181699,3.555800964,3.427421217
"(5.7, 2.0, 2.75, 1.0, 0.65, 1.5, 1.25, 0.3, 0.2, 0.2, 0.18, 0.6, 16.0)",3.094280988,3.632181699,3.555800964,3.427421217
"(5.7, 2.0, 2.75, 1.0, 0.65, 1.5, 1.0, 0.3, 0.0, 0.2, 0.18, 0.6, 16.0)",3.06567891,3.491549845,3.657128899,3.404785885
"(5.7, 2.0, 2.75, 1.0, 0.65, 1.5, 1.0, 0.3, 0.2, 0.2, 0.18, 0.6, 16.0)",3.06567891,3.491549845,3.657128899,3.404785885
"(5.7, 2.0, 2.75, 1.0, 0.8, 1.5, 1.0, 0.3, 0.2, 0.2, 0.18, 0.8, 16.0)",3.041107745,3.434297421,3.718689832,3.398031666
"(5.7, 2.0, 2.75, 1.0, 0.8, 1.5, 1.0, 0.3, 0.0, 0.2, 0.18, 0.8, 16.0)",3.041107745,3.434297421,3.718689832,3.398031666
"(5.7, 2.0, 2.75, 1.0, 0.8, 1.5, 1.25, 0.3, 0.0, 0.2, 0.18, 0.6, 16.0)",3.37638624,3.144171975,3.462941378,3.327833198
"(5.7, 2.0, 2.75, 1.0, 0.8, 1.5, 1.25, 0.3, 0.2, 0.2, 0.18, 0.6, 16.0)",3.37638624,3.144171975,3.462941378,3.327833198
"(5.7, 2.0, 2.75, 1.0, 0.8, 1.5, 1.0, 0.3, 0.2, 0.2, 0.18, 0.6, 16.0)",3.370082122,3.11847521,3.37182877,3.286795367
"(5.7, 2.0, 2.75, 1.0, 0.8, 1.5, 1.0, 0.3, 0.0, 0.2, 0.18, 0.6, 16.0)",3.370082122,3.11847521,3.37182877,3.286795367
"(5.7, 2.0, 2.75, 1.0, 0.65, 2.0, 1.25, 0.3, 0.2, 0.2, 0.18, 0.6, 16.0)",2.92018815,3.655650478,3.275150598,3.283663075
